# 1CGH_name      RA_1CGH     DEC_1CGH     Counterpart_name                               N0[1E-16] N0_err[1E-16] Index Index_err Flux[1E-12] Flux_err[1E-12] TS         z       zflag z_origin                                                        Nph_128 Emax_128[GeV]    Nph_512 Emax_512[GeV]    Ebin_max[GeV]    TrasmissionEbin    AbsEbin                tauEbin               Abs_flag GAL_LAT             BZcat          z_3HSP zflag_3hsp 4FGL_counter_name  TEVCAT_FLAG_4FGLdr4 ASSOC_TEV_4FGLdr4     CLASS1_4FGLdr4 ASSOC1_4FGLdr4               Name_4LACdr3      z_4LACdr3_1 Name_3FHL         z_3FHL  
  1CGHJ1423+4523 215.8696739 45.395528011 4FGLJ1423.5+4524                               3.0       1.78          2.65  0.81      5.32        3.26            10.0       0.749   2.0   Foschini22(7,8,11,12b,13[=])                                    4.0     39.88323046875   4.0     39.88323046875   21.568078125     0.9974722616768588 0.0025277383231412     0.0025309384475118    0.0      64.14231438457492   ""             ""     ""         "4FGL J1423.5+4524" N                   ""                    bcu            "87GB 142138.0+453705"       "4FGL J1423.5+4524" -Infinity   ""                ""      
  1CGHJ0916+1204 139.1075    12.0772      4FGLJ0916.4+1204                               4.12      2.34          3.27  1.37      6.84        3.91            10.0       ""      ""    4FGLdr4                                                         4.0     51.18065625      4.0     51.18065625      27.050765625     ""                 ""                     ""                    ""       37.588898854278554  ""             ""     ""         "4FGL J0916.4+1204" N                   ""                    ""             ""                           ""                ""          ""                ""      
  1CGHJ2337+1449 354.4258    14.8192      4FGLJ2337.7+1449c                              3.92      2.25          2.22  0.54      7.86        4.82            10.0       ""      ""    4FGLdr4                                                         4.0     45.25437890625   4.0     45.25437890625   24.642734375     ""                 ""                     ""                    ""       -44.39589129848416  ""             ""     ""         "4FGL J2337.7+1449c" N                   ""                    ""             ""                           ""                ""          ""                ""      
  1CGHJ1420-0438 215.0784    -4.6486      4FGLJ1420.3-0438                               4.97      2.72          3.11  1.21      8.32        4.57            10.0       ""      ""    4FGLdr4                                                         4.0     20.15158203125   3.0     18.43701171875   15.718578125     ""                 ""                     ""                    ""       51.65021174979906   ""             ""     ""         "4FGL J1420.3-0438" N                   ""                    ""             ""                           ""                ""          ""                ""      
  1CGHJ1953+7650 298.4620056 76.847183227 4FGLJ1953.0+7651                               3.3       1.79          2.49  0.66      6.08        3.03            10.0       0.765   2.0   Foschini22(1,3,4[=])                                            5.0     42.01326171875   5.0     42.01326171875   28.7146953125    0.98471093224843   0.0152890677515701     0.0154071506792846    0.0      22.926667638576728  ""             ""     ""         "4FGL J1953.0+7651" N                   ""                    bcu            "WN B1955.4+7642"            "4FGL J1953.0+7651" -Infinity   ""                ""      
  1CGHJ2224+0354 336.1040417 3.916166667  3HSPJ222425.0+035458                           3.81      2.34          2.14  0.62      7.9         4.35            10.0       0.3     2.0   3HSPcat                                                         4.0     40.2980234375    4.0     40.2980234375    23.455755859375  0.9998759749634882 1.240250365117E-4      1.240327282525E-4     0.0      -42.863074374163965 ""             0.3    5          "4FGL J2224.5+0353" N                   ""                    bcu            "1RXS J222426.5+035445"      "4FGL J2224.5+0353" -Infinity   ""                ""      
  1CGHJ0143+4947 25.9576     49.7948      4FGLJ0143.8+4947                               3.67      2.51          5.2   2.01      7.23        5.5             10.0       ""      ""    4FGLdr4                                                         7.0     96.656171875     7.0     96.656171875     35.3224375       ""                 ""                     ""                    ""       -12.199284058070251 ""             ""     ""         "4FGL J0143.8+4947" N                   ""                    ""             ""                           ""                ""          ""                ""      
  1CGHJ1453+2648 223.47333   26.80928     5BZUJ1453+2648                                 4.24      1.71          2.35  0.5       8.14        3.23            10.1       0.757   2.0   Foschini22(1,3,13[=])                                           4.0     31.7387578125    4.0     31.7387578125    24.4111953125    0.9939535498100002 0.0060464501899998     0.0060648039909107    0.0      62.78172536497996   5BZUJ1453+2648 ""     ""         "4FGL J1454.1+2647" N                   ""                    bcu            "B2 1451+26"                 "4FGL J1454.1+2647" -Infinity   ""                ""      
  1CGHJ2034+7244 308.6196    72.7445      4FGLJ2034.4+7244                               5.02      2.31          3.54  1.08      8.31        3.83            10.1       ""      ""    4FGLdr4                                                         8.0     28.642091796875  7.0     28.642091796875  23.478201171875  ""                 ""                     ""                    ""       18.706780182582953  ""             ""     ""         "4FGL J2034.4+7244" N                   ""                    ""             ""                           ""                ""          ""                ""      
  1CGHJ0653-4151 103.4995254 -41.86248519 4FGLJ0654.0-4152(LEDA_571171_BZG)              4.09      0.24          1.94  0.11      9.39        0.84            10.1       0.091   1.0   Pena-Herazo21                                                   4.0     30.555744140625  4.0     30.555744140625  19.2752578125    1.0                0.0                    0.0                   0.0      -17.271169357958584 ""             ""     ""         "4FGL J0654.0-4152" N                   ""                    bll            "LEDA 571171"                "4FGL J0654.0-4152" 1.7E-5      ""                ""      
